"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2022,350,325,25,0,0,0,0,93,45,23,0,0,0,211,139
"Aberdeen, WA","10140",2022,365,340,24,1,0,0,0,112,43,22,0,0,0,365,0
"Ada, OK","10220",2022,152,131,20,1,0,0,0,101,54,38,0,0,117,35,0
"Adrian, MI","10300",2022,365,250,115,0,0,0,0,97,65,43,0,0,149,216,0
"Akron, OH","10420",2022,362,230,128,3,1,0,0,159,65,44,0,0,144,218,0
"Albany, GA","10500",2022,358,180,173,4,1,0,0,151,64,50,0,0,0,358,0
"Albany, OR","10540",2022,365,254,109,2,0,0,0,127,65,33,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2022,365,275,90,0,0,0,0,88,57,40,0,0,184,181,0
"Albuquerque, NM","10740",2022,365,80,252,28,2,1,2,825,97,64,0,0,164,144,57
"Alexandria, LA","10780",2022,119,85,33,1,0,0,0,105,57,38,0,0,0,119,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2022,365,207,156,2,0,0,0,118,65,48,0,8,119,238,0
"Altoona, PA","11020",2022,363,234,129,0,0,0,0,97,59,44,0,0,137,226,0
"Amarillo, TX","11100",2022,365,248,112,5,0,0,0,122,77,45,0,0,289,76,0
"Americus, GA","11140",2022,238,224,14,0,0,0,0,93,47,35,0,0,238,0,0
"Anchorage, AK","11260",2022,365,286,78,1,0,0,0,125,61,27,0,0,0,232,133
"Ann Arbor, MI","11460",2022,365,222,142,1,0,0,0,101,68,46,0,0,152,213,0
"Appleton, WI","11540",2022,365,241,123,1,0,0,0,122,60,43,0,0,105,260,0
"Ardmore, OK","11620",2022,365,224,132,8,1,0,0,160,77,46,0,0,184,181,0
"Arkadelphia, AR","11660",2022,363,350,13,0,0,0,0,90,46,35,0,0,363,0,0
"Asheville, NC","11700",2022,365,267,97,1,0,0,0,108,57,44,0,0,194,171,0
"Ashtabula, OH","11780",2022,239,211,23,5,0,0,0,133,54,38,0,0,239,0,0
"Athens, OH","11900",2022,119,107,12,0,0,0,0,67,51,27,0,0,0,119,0
"Athens, TN","11940",2022,357,233,124,0,0,0,0,73,56,41,0,0,0,357,0
"Athens-Clarke County, GA","12020",2022,362,201,161,0,0,0,0,88,63,47,0,0,109,253,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2022,365,127,229,8,1,0,0,169,72,54,0,3,98,264,0
"Atlantic City-Hammonton, NJ","12100",2022,365,316,48,0,1,0,0,185,52,36,0,0,193,172,0
"Augusta-Richmond County, GA-SC","12260",2022,365,181,184,0,0,0,0,99,63,51,0,0,93,272,0
"Augusta-Waterville, ME","12300",2022,203,194,9,0,0,0,0,84,46,30,0,0,165,36,2
"Austin-Round Rock, TX","12420",2022,365,178,180,7,0,0,0,129,77,51,0,4,136,225,0
"Bakersfield, CA","12540",2022,365,47,196,109,12,1,0,289,136,80,0,0,189,153,23
"Baltimore-Columbia-Towson, MD","12580",2022,365,200,163,2,0,0,0,122,71,49,0,1,181,183,0
"Bangor, ME","12620",2022,361,324,37,0,0,0,0,87,51,33,0,0,176,185,0
"Baraboo, WI","12660",2022,360,265,95,0,0,0,0,79,58,41,0,0,124,236,0
"Barnstable Town, MA","12700",2022,360,341,19,0,0,0,0,93,46,36,0,0,351,9,0
"Baton Rouge, LA","12940",2022,365,130,224,10,1,0,0,156,77,53,0,0,115,250,0
"Bay City, MI","13020",2022,354,287,67,0,0,0,0,85,55,32,0,0,0,354,0
"Beatrice, NE","13100",2022,278,252,26,0,0,0,0,81,49,23,0,0,0,278,0
"Beaumont-Port Arthur, TX","13140",2022,365,189,171,5,0,0,0,129,67,50,0,2,103,260,0
"Beaver Dam, WI","13180",2022,365,266,99,0,0,0,0,93,60,42,0,0,183,182,0
"Bellingham, WA","13380",2022,343,294,40,3,5,1,0,243,56,32,0,0,196,147,0
"Bemidji, MN","13420",2022,346,318,28,0,0,0,0,65,47,23,0,0,0,346,0
"Bend-Redmond, OR","13460",2022,365,282,77,2,3,1,0,205,62,23,0,0,0,365,0
"Bennington, VT","13540",2022,365,324,41,0,0,0,0,74,51,37,0,0,244,121,0
"Berlin, NH-VT","13620",2022,359,350,9,0,0,0,0,64,46,40,0,0,354,5,0
"Billings, MT","13740",2022,365,307,56,1,1,0,0,155,54,32,0,0,0,365,0
"Birmingham-Hoover, AL","13820",2022,365,128,234,3,0,0,0,105,71,54,0,0,66,299,0
"Bishop, CA","13860",2022,365,117,217,18,4,4,5,1551,97,58,0,0,188,130,47
"Bismarck, ND","13900",2022,365,246,119,0,0,0,0,99,61,43,0,1,145,215,4
"Blacksburg-Christiansburg-Radford, VA","13980",2022,358,329,29,0,0,0,0,100,50,38,0,0,358,0,0
"Bloomington, IL","14010",2022,365,207,156,2,0,0,0,129,63,47,0,0,119,246,0
"Bloomington, IN","14020",2022,365,261,102,2,0,0,0,101,59,43,0,0,169,196,0
"Boise City, ID","14260",2022,365,132,220,11,2,0,0,188,85,55,0,0,147,216,2
"Boston-Cambridge-Newton, MA-NH","14460",2022,365,197,162,6,0,0,0,122,64,49,0,1,112,252,0
"Boulder, CO","14500",2022,365,224,134,7,0,0,0,129,77,47,0,0,260,105,0
"Bowling Green, KY","14540",2022,365,245,120,0,0,0,0,84,58,44,0,0,156,209,0
"Bozeman, MT","14580",2022,365,290,71,4,0,0,0,148,58,32,0,2,0,363,0
"Brainerd, MN","14660",2022,365,306,59,0,0,0,0,67,53,39,0,0,144,221,0
"Branson, MO","14700",2022,118,106,12,0,0,0,0,71,52,25,0,0,0,118,0
"Bremerton-Silverdale, WA","14740",2022,359,306,50,3,0,0,0,143,55,28,0,0,0,359,0
"Bridgeport-Stamford-Norwalk, CT","14860",2022,365,223,120,20,2,0,0,156,84,45,0,6,174,185,0
